This is a full list of config-variables changed by actions. The format is: Section_CommandID(AID) and then the configvariable altered.
The INT/DOUBLE-values are a hint to what has changed to what, but isn't 100%-accurate.

The list isn't cleaned yet, means, while creating this list, some false positives happened through the process. 
All false positives are entries with only one or two appearances of the same commandID, while all valid ones are always three times.

Meo Mespotine - mespotine.de for the ultraschall.fm-project

Sec:0_AID:40300=itemclickmovecurs 	 - INT: 13  - DOUBLE: -2.0
Sec:0_AID:40310=projripedit 	 - INT: -1  - DOUBLE: -2.0
Sec:0_AID:40311=projripedit 	 - INT: 0  - DOUBLE: -2.0
Sec:0_AID:40346=isFullscreen 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40346=fullscreenRectB 	 - INT: 322  - DOUBLE: -2.0
Sec:0_AID:40346=fullscreenRectR 	 - INT: 322  - DOUBLE: -2.0
Sec:0_AID:40346=isFullscreen 	 - INT: -1  - DOUBLE: -2.0
Sec:0_AID:40346=isFullscreen 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40364=projmetroen 	 - INT: 29  - DOUBLE: -2.0
Sec:0_AID:40364=projmetroen 	 - INT: 28  - DOUBLE: -2.0
Sec:0_AID:40364=projmetroen 	 - INT: 29  - DOUBLE: -2.0
Sec:0_AID:40365=projtimemode 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40366=projtimemode 	 - INT: -1  - DOUBLE: -2.0
Sec:0_AID:40367=projtimemode 	 - INT: 0  - DOUBLE: -2.0
Sec:0_AID:40368=projtimemode 	 - INT: 1  - DOUBLE: -2.0
Sec:0_AID:40369=projtimemode 	 - INT: 2  - DOUBLE: -2.0
Sec:0_AID:40370=projtimemode 	 - INT: 3  - DOUBLE: -2.0
Sec:0_AID:40371=mixrowflags 	 - INT: 71  - DOUBLE: -2.0
Sec:0_AID:40371=mixrowflags 	 - INT: 70  - DOUBLE: -2.0
Sec:0_AID:40371=mixrowflags 	 - INT: 71  - DOUBLE: -2.0
Sec:0_AID:40372=mixrowflags 	 - INT: 73  - DOUBLE: -2.0
Sec:0_AID:40372=mixrowflags 	 - INT: 71  - DOUBLE: -2.0
Sec:0_AID:40372=mixrowflags 	 - INT: 73  - DOUBLE: -2.0
Sec:0_AID:40379=projtimemode2 	 - INT: -3  - DOUBLE: -2.0
Sec:0_AID:40389=mixerflag 	 - INT: 6  - DOUBLE: -2.0
Sec:0_AID:40389=mixrowflags 	 - INT: 77  - DOUBLE: -2.0
Sec:0_AID:40389=mixrowflags 	 - INT: 73  - DOUBLE: -2.0
Sec:0_AID:40389=mixrowflags 	 - INT: 77  - DOUBLE: -2.0
Sec:0_AID:40390=smoothseek 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40390=smoothseek 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:40390=smoothseek 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40410=projtimemode2 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40411=projtimemode2 	 - INT: 0  - DOUBLE: -2.0
Sec:0_AID:40412=projtimemode2 	 - INT: 1  - DOUBLE: -2.0
Sec:0_AID:40413=projtimemode2 	 - INT: 2  - DOUBLE: -2.0
Sec:0_AID:40414=projtimemode2 	 - INT: 3  - DOUBLE: -2.0
Sec:0_AID:40435=projtakelane 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:40435=projtakelane 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40435=projtakelane 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:40507=projtakelane 	 - INT: 24  - DOUBLE: -2.0
Sec:0_AID:40507=projtakelane 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:40507=projtakelane 	 - INT: 24  - DOUBLE: -2.0
Sec:0_AID:40531=transflags 	 - INT: 23  - DOUBLE: -2.0
