This is a full list of config-variables changed by actions in the Main-section. The format is: Section_CommandID(AID) and then the configvariable altered.
The INT/DOUBLE-values are a hint to what has changed to what, but isn't 100%-accurate.

The list isn't cleaned yet, means, while creating this list, some false positives happened through the process. 
All false positives are entries with only one or two appearances of the same commandID, while all valid ones are always three times.

Meo Mespotine - mespotine.de for the ultraschall.fm-project

Sec:32060_AID:40771=projtrackgroupdisabled 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:40771=projtrackgroupdisabled 	 - INT: -1  - DOUBLE: -2.0
Sec:32060_AID:40771=projtrackgroupdisabled 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:40774=projgriddiv 	 - INT: -2  - DOUBLE: -1.9375
Sec:32060_AID:40777=projgriddiv 	 - INT: 1431655763  - DOUBLE: -1.6666666666667
Sec:32060_AID:40778=projgriddiv 	 - INT: -2  - DOUBLE: -1.5
Sec:32060_AID:40868=transflags 	 - INT: 146  - DOUBLE: -2.0
Sec:32060_AID:40868=transflags 	 - INT: 130  - DOUBLE: -2.0
Sec:32060_AID:40868=transflags 	 - INT: 146  - DOUBLE: -2.0
Sec:32060_AID:40871=multiprojopt 	 - INT: 12264  - DOUBLE: -2.0
Sec:32060_AID:40871=multiprojopt 	 - INT: 12265  - DOUBLE: -2.0
Sec:32060_AID:40871=multiprojopt 	 - INT: 12264  - DOUBLE: -2.0
Sec:32060_AID:40872=multiprojopt 	 - INT: 12268  - DOUBLE: -2.0
Sec:32060_AID:40872=multiprojopt 	 - INT: 12264  - DOUBLE: -2.0
Sec:32060_AID:40872=multiprojopt 	 - INT: 12268  - DOUBLE: -2.0
Sec:32060_AID:40873=multiprojopt 	 - INT: 12266  - DOUBLE: -2.0
Sec:32060_AID:40873=multiprojopt 	 - INT: 12268  - DOUBLE: -2.0
Sec:32060_AID:40873=multiprojopt 	 - INT: 12266  - DOUBLE: -2.0
Sec:32060_AID:40874=multiprojopt 	 - INT: 12258  - DOUBLE: -2.0
Sec:32060_AID:40874=multiprojopt 	 - INT: 12266  - DOUBLE: -2.0
Sec:32060_AID:40874=multiprojopt 	 - INT: 12258  - DOUBLE: -2.0
Sec:32060_AID:40903=mixrowflags 	 - INT: 434  - DOUBLE: -2.0
